Session Information:,,,,Device Information:,,,
,,,,,,,
Name:,Dist-2000M,,,Name:,Yo1664,,
Start Time:,06/20/15 10:10am,,,Model:,SpeedCoach GPS Pro,,
Type:,Single Distance,,,Serial:,2078089,,
System of Units:,Meters/Split500,,,Firmware Version:,2.05,,
Speed Input:,GPS,,,Profile Version:,0.02,,
,,,,Hardware Version:,Rev 10,,
,,,,LiNK Version:,1.22.07,,
,,,,,,,
Session Summary:,,,,,,,
,,,,,,,
Total Intervals,Total Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,06:52.5,2000.3,01:43.3,4.84,33,---,227
,,,,,,,
Summary for Session Intervals:,,,,,,,
,,,,,,,
Interval,Elapsed Time,Total Distance,Avg Split,Avg Speed,Avg Stroke Rate,Avg Heart Rate,Total Strokes
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,06:52.5,2000.3,01:43.3,4.84,33,---,227
,,,,,,,
Session Detail Data:,,,,,,,
,,,,,,,
Interval,Elapsed Time,GPS Distance,GPS Split,GPS Speed,Stroke Rate,Heart Rate,Stroke Count
(Interval),(HH:MM:SS.tenths),(Meters),(/500),(M/S),(SPM),(BPM),(Strokes)
1,00:01.2,1.1,01:22.0,0.48,48,---,1
1,00:03.0,8.5,01:42.0,2.25,47.5,---,2
1,00:04.3,14.4,01:32.0,4.09,47.5,---,3
1,00:05.6,21.7,01:41.4,4.93,45.5,---,4
1,00:07.2,29.4,01:33.1,5.37,44.5,---,5
1,00:08.4,37.4,01:30.4,5.53,41.5,---,6
1,00:10.2,46.2,01:28.4,5.65,41.5,---,7
1,00:11.4,54.2,01:29.2,5.6,41,---,8
1,00:12.8,62.3,01:29.2,5.6,41,---,9
1,00:14.2,70.3,01:29.2,5.6,41,---,10
1,00:15.8,79.2,01:29.2,5.6,41.5,---,11
1,00:17.2,87.3,01:29.7,5.57,39,---,12
1,00:18.8,96.1,01:30.0,5.55,39.5,---,13
1,00:20.4,105,01:31.0,5.49,39,---,14
1,00:21.8,112.8,01:31.9,5.44,38,---,15
1,00:23.4,121.4,01:32.4,5.41,38.5,---,16
1,00:25.2,130,01:32.5,5.4,37,---,17
1,00:26.6,138.6,01:31.7,5.45,37.5,---,18
1,00:28.2,146.2,01:33.1,5.37,37,---,19
1,00:29.8,155.5,01:31.9,5.44,37.5,---,20
1,00:31.5,164,01:31.9,5.44,36.5,---,21
1,00:33.2,173.2,01:33.6,5.34,37,---,22
